country_name	value
Canada	-0.626865671642
Turkey	-0.814814814815
Italy	-0.733333333333
Lithuania	1.0
Luxembourg	1.0
France	-0.652173913043
Macedonia, the Former Yugoslav Republic Of	-1.0
Ireland	-0.6
Norway	-1.0
Belarus	-1.0
Singapore	-0.6
Germany	-0.545454545455
Chile	-0.492537313433
Belgium	-1.0
Spain	-0.677419354839
Ukraine	-0.714285714286
The Netherlands	-1.0
Finland	0.0
Brasil	-0.532401524778
Denmark	-0.142857142857
Poland	1.0
Indonesia	-0.642857142857
United States	-0.56012641832
Morocco	0.0
Sweden	-0.2
Latvia	-1.0
Hungary	-0.5
Switzerland	-0.2
Russia	-0.340314136126
Andorra	1.0
Estonia	1.0
Portugal	-1.0
Mexico	-0.528868360277
South Africa	-0.757575757576
Serbia	-1.0
United Kingdom	-0.601750547046
Malaysia	-0.522142121524
Austria	1.0
Greece	-0.714285714286
Japan	-0.268733850129
